Количество на 100г продукта:,"Жиры, г",Ккал
Бройлеры  (цыплята) 2 кат.,11.2,180
Бутерброд  с «любительской» вареной колбасой,14.3,220
Бутерброд  с отварной говядиной,3.7,122
Вареная колбаса «Для завтрака»,13.9,187
Вареники ленивые отварные,7.0,173
Говядина  жареная,6.0,168
Говядина  отварная,16.8,254
Говядина  тушеная,5.4,116
Говядина 1 кат.,16.0,218
Говядина 2 кат.,9.8,168
Говяжий фарш сырой,20.0,254
Говяжий язык отварной,15.0,231
Говяжье сердце тушеное в соусе,6.3,113
Говяжьи сардельки,18.2,215
Говяжьи сосиски,20.1,226
Голень куриная без кожи сырая,5.6,171
Голень куриная с кожей сырая,11.1,214
Голубцы говяжьи,4.9,111
Грудинка свиная сырая,45.0,458
Грудинка свиная сырая,45.0,458
Грудинка свинины копчено-запеченная,52.7,514
Грудинка свинины сырокопченая,63.3,605
Грудка курицы без кожи сырая,3.5,164
Грудка курицы с кожей сырая,7.7,195
Гуси 1 кат.,39.0,412
Гуси 2 кат.,27.7,317
Диабетическая вареная колбаса,22.8,254
Духовая говядина,3.8,104
Жаркое  по-домашнему из говядины,4.0,108
Желудок курицы сырой,2.0,94
Зразы  рубленые из говядины,15.7,244
Индейка  жареная,20.7,280
Индейка  отварная,19.8,273
Индейка целиком сырая,7.0,187
Индейки 1 кат.,22.0,276
Индейки 2 кат.,12.0,194
Кожа курицы сырая,40.3,450
Конина 1 кат.,9.9,167
Конина 2 кат.,4.1,121
Консервы «Завтрак туриста» из баранины,15.2,210
Консервы «Завтрак туриста» из говядины,14.9,217
Консервы «Завтрак туриста» из свинины,31.0,347
Консервы «Паштет мясной» из говядины,23.3,275
Консервы «Паштет печеночный»,28.1,301
Консервы из бараньего гуляша,15.6,213
Консервы из говядины в белом соусе,14.8,220
Консервы из говяжьего гуляша,14.3,212
Консервы из говяжьего языка в желе,13.6,212
Консервы из жирной свинины,48.9,486
Консервы из колбасного куриного фарша,15.6,200
Консервы из курицы в собственном соку,9.9,183
Консервы из особой ветчины,6.2,126
Консервы из отварной говядины в собственном соку,16.9,214
Консервы из свиного гуляша,29.4,333
Консервы из свиного сосисочного фарша,20.4,244
Консервы из тушеной баранины,13.4,191
Консервы из тушеной говядины,17.0,220
Консервы из тушеной свинины,32.2,349
Консервы из утки в собственном соку,17.5,223
Корейка  свинины копчено-запеченная,48.2,475
Корейка свинины сырокопченая,47.4,469
Котлета свиная сырая,13.4,238
Котлеты  из индейки,12.2,220
Котлеты  куриные,10.4,222
Котлеты  отбивные из баранины,30.6,394
Котлеты  отбивные из свинины,40.3,470
Котлеты  рубленые из баранины,14.8,240
Котлеты  рубленые из говядины,11.4,213
Котлеты  рубленые из мяса цыплят,13.6,238
Котлеты  рубленые из свинины,45.7,466
Красное мясо индейки сырое,4.0,125
Кролик  жареный,12.7,241
Кролик  отварной,10.4,194
Кролик сырой,8.4,205
Крыло индейки с кожей сырое,12.0,197
Крыло курицы без кожи сырое,8.1,201
Крыло курицы с кожей сырое,19.3,288
Куриная грудка без кожи,3.5,164
Курица  жареная,15.3,259
Курица  отварная,17.0,244
Курица  тушеная с овощами,7.1,125
Курица гриль,0.0,237
Куры 1 кат.,18.4,238
Куры 2 кат.,8.2,159
Мозги говяжьи,8.6,127
Мозги свиные,8.6,119
Мякоть говядины сырая,19.6,289
Мясо кролика,11.0,183
Ножка индейки с кожей сырая,7.0,144
Окорок бараний сырой,13.0,195
Окорок свинины  тамбовский вареный,25.6,288
Окорок свиной сырой,21.0,263
Окрошка  мясная из говядины на кефире,1.1,39
Окрошка мясная из говядины со сметаной,1.7,52
Оладьи  из говяжьей печени,14.2,230
Оленина 1 кат.,8.5,155
Отбивная свиная сырая,14.6,250
Паштет  из говяжьей печени,11.1,177
Пельмени  жареные,22.5,303
Пельмени  отварные,13.9,219
Печень говяжья,3.7,127
Печень говяжья  жареная,10.2,208
Печень говяжья  тушеная в соусе,9.2,159
Печень говяжья сырая,4.0,135
Печень курицы сырая,5.0,116
Печень свиная,3.8,109
Пирожки  печеные с мясным фаршем и луком,5.7,245
Поджарка из баранины,35.1,409
Поджарка из говядины,13.6,237
Поджарка из свинины,49.3,524
Поросенок  жареный,4.5,147
Поросята,3.0,109
Почки говяжьи,2.8,86
Почки говяжьи жареные  в соусе,6.1,122
Почки говяжьи по-русски,3.3,96
Почки говяжьи тушеные,5.5,109
Почки свиные,3.6,92
Рагу  из баранины,10.1,152
Рагу  из индейки,7.9,131
Рагу  из кролика,6.1,123
Рагу  из кур,8.0,131
Рагу  из утки,13.5,186
Рагу  из цыплят,7.1,125
Расстегаи  с мясом и луком,6.4,254
Ребра свиные сырые,24.0,282
Ромштекс из говядины,11.3,237
Салат  с курицей,9.9,137
Салат мясной говяжий,18.8,219
Сало свиное сырое,89.0,812
Сардельки  говяжьи  отварные,18.2,215
Сардельки 1 сорта,17.2,202
Свинина  жареная,26.2,314
Свинина  отварная,31.5,373
Свинина  тушеная,20.4,235
Свинина беконная,27.8,318
Свинина жирная,49.3,491
Свинина мясная,33.3,357
Свиные сардельки,31.6,322
Сердце говяжье,3.5,96
Сердце курицы сырое,9.0,153
Сердце свиное,4.0,101
Солянка  сборная мясная с говядиной,2.8,39
Сосиски  говяжьи отварные,20.0,225
Спинка курицы с кожей сырая,20.8,298
Стейк из говядины сырой,13.2,237
Телятина 1 кат.,2.0,97
Телятина 2 кат.,0.9,89
Тефтели из говядины,9.1,150
Утка  жареная,34.9,407
Утка  отварная,34.6,385
Утка  фаршированная картофелем,10.9,169
Утки 1 кат.,38.0,405
Утки 2 кат.,24.2,287
Фарш бараний сырой,23.0,282
Фарш свиной сырой,21.0,263
Фрикадельки куриные,6.5,163
Цыплята  жареные,18.3,261
Цыплята  жареные  табака,20.2,281
Цыплята  отварные,13.6,211
Шея куриная с кожей сырая,17.9,245
